90.00000	0.00000	144.54600
89.43750	0.00000	154.31632
89.43750	90.00000	145.69106
89.43750	180.00000	134.27641
89.43750	270.00000	142.26687
88.87500	0.00000	161.57664
88.87500	45.00000	156.73377
88.87500	90.00000	140.30031
88.87500	135.00000	121.42794
88.87500	180.00000	139.39056
88.87500	225.00000	136.25333
88.87500	270.00000	158.75181
88.87500	315.00000	159.36716
88.31250	0.00000	170.36146
88.31250	30.00000	168.84667
88.31250	60.00000	158.69278
88.31250	90.00000	138.57641
88.31250	120.00000	106.42677
88.31250	150.00000	124.58966
88.31250	180.00000	118.97939
88.31250	210.00000	129.86284
88.31250	240.00000	141.47951
88.31250	270.00000	159.16426
88.31250	300.00000	182.14906
88.31250	330.00000	174.70503
87.75000	0.00000	181.06054
87.75000	22.50000	181.88063
87.75000	45.00000	173.32092
87.75000	67.50000	154.39369
87.75000	90.00000	141.99297
87.75000	112.50000	110.15908
87.75000	135.00000	113.47718
87.75000	157.50000	94.41228
87.75000	180.00000	112.13194
87.75000	202.50000	129.08858
87.75000	225.00000	130.25333
87.75000	247.50000	148.73200
87.75000	270.00000	175.10543
87.75000	292.50000	190.17948
87.75000	315.00000	178.65880
87.75000	337.50000	181.53357
87.18750	0.00000	195.71840
87.18750	18.00000	198.43405
87.18750	36.00000	188.98368
87.18750	54.00000	175.89048
87.18750	72.00000	166.81308
87.18750	90.00000	143.16834
87.18750	108.00000	114.40184
87.18750	126.00000	93.10048
87.18750	144.00000	111.94047
87.18750	162.00000	91.93133
87.18750	180.00000	111.21124
87.18750	198.00000	114.35410
87.18750	216.00000	120.47504
87.18750	234.00000	131.96980
87.18750	252.00000	152.16664
87.18750	270.00000	174.63359
87.18750	288.00000	192.62706
87.18750	306.00000	195.84228
87.18750	324.00000	195.89676
87.18750	342.00000	189.94520
86.62500	0.00000	207.10181
86.62500	15.00000	210.35114
86.62500	30.00000	207.99122
86.62500	45.00000	175.91573
86.62500	60.00000	203.13062
86.62500	75.00000	167.90410
86.62500	90.00000	141.24895
86.62500	105.00000	114.73380
86.62500	120.00000	96.55103
86.62500	135.00000	86.83559
86.62500	150.00000	98.96915
86.62500	165.00000	96.99296
86.62500	180.00000	101.06769
86.62500	195.00000	101.65349
86.62500	210.00000	106.18339
86.62500	225.00000	119.18084
86.62500	240.00000	139.87673
